dataset,study,name,architecture_name,conv_channels,dropout_value,dropout_position,batch_norm,activation_function,optimizer,learning_rate,batch_size,epochs,selected_epoch,training_time_seconds,selected_train_accuracy,selected_train_loss,selected_validation_accuracy,selected_validation_loss,best_validation_accuracy,lowest_validation_loss,final_training_accuracy,final_training_loss,notes
keystroke,optimizer,optimizer_rmsprop,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,rmsprop,0.001,32,12,12,1.3662080764770508,0.9466666666666667,0.24022064169247945,0.8933333333333333,0.3729904890060425,0.9,0.3729904890060425,0.9466666666666667,0.24022064169247945,Optimizer comparison
keystroke,architecture,architecture_C_batchnorm_dropout,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,relu,adam,0.001,32,12,12,1.464184045791626,0.9175,0.3339316002527873,0.9,0.3858311414718628,0.9,0.3858311414718628,0.9175,0.3339316002527873,Three convolution blocks with batch norm and dropout
keystroke,activation,activation_elu,C_batchnorm_dropout,"[16, 32, 64]",0.3,classifier,True,elu,adam,0.001,32,12,12,1.5869698524475098,0.9225,0.3114476458231608,0.8866666666666667,0.41425089359283446,0.9,0.41425089359283446,0.9225,0.3114476458231608,Activation function comparison
